index,City,AccentCity,Population,Latitude,Longitude,CountryLong,Latitude(average),Longitude(average)
10355,rivera,Rivera,8044.0,2.77717,-75.256415,colombia,4.0,-72.0
10356,soplaviento,Soplaviento,8067.0,10.3875,-75.13555600000001,colombia,4.0,-72.0
10357,la palma,La Palma,8093.0,5.3592010000000005,-74.390467,colombia,4.0,-72.0
10358,pensilvania,Pensilvania,8173.0,5.383456,-75.16121899999999,colombia,4.0,-72.0
10359,tubara,Tubará,8181.0,10.874444,-74.978889,colombia,4.0,-72.0
10360,timana,Timaná,8203.0,1.971357,-75.93123299999999,colombia,4.0,-72.0
10361,cisneros,Cisneros,8204.0,6.538333000000001,-75.088611,colombia,4.0,-72.0
10362,pacora,Pácora,8218.0,5.527083999999999,-75.459301,colombia,4.0,-72.0
10363,silvania,Silvania,8237.0,4.403671,-74.3867,colombia,4.0,-72.0
10364,toluviejo,Toluviejo,8260.0,9.450819,-75.438641,colombia,4.0,-72.0
10365,remolino,Remolino,8308.0,10.701985,-74.71601899999999,colombia,4.0,-72.0
10366,la union,La Unión,8361.0,5.974309,-75.361954,colombia,4.0,-72.0
10367,yotoco,Yotoco,8362.0,3.860478,-76.38364399999999,colombia,4.0,-72.0
10368,arboletes,Arboletes,8381.0,8.85051,-76.426939,colombia,4.0,-72.0
10369,sopo,Sopó,8396.0,4.907499,-73.93839799999999,colombia,4.0,-72.0
10370,achi,Achí,8434.0,8.568178,-74.554052,colombia,4.0,-72.0
10371,tenerife,Tenerife,8476.0,9.900932,-74.859852,colombia,4.0,-72.0
10372,urumita,Urumita,8509.0,10.558938,-73.01231899999999,colombia,4.0,-72.0
10373,frontino,Frontino,8603.0,6.780054,-76.128801,colombia,4.0,-72.0
10374,juan de acosta,Juan de Acosta,8655.0,10.828133,-75.03341,colombia,4.0,-72.0
10375,la cruz,La Cruz,8752.0,1.603013,-76.969008,colombia,4.0,-72.0
10376,clemencia,Clemencia,8775.0,10.566455,-75.324986,colombia,4.0,-72.0
10377,san pedro,San Pedro,8801.0,6.462212999999999,-75.556556,colombia,4.0,-72.0
10378,santa rosa del sur,Santa Rosa del Sur,8905.0,7.964444,-74.05444399999999,colombia,4.0,-72.0
10379,lebrija,Lebrija,8950.0,7.113167999999999,-73.2178,colombia,4.0,-72.0
10380,fredonia,Fredonia,8951.0,5.925833,-75.670556,colombia,4.0,-72.0
10381,astrea,Astrea,8996.0,9.498276,-73.975914,colombia,4.0,-72.0
10382,becerril,Becerril,9002.0,9.704134,-73.279298,colombia,4.0,-72.0
10383,guamal,Guamal,9016.0,9.143338,-74.223844,colombia,4.0,-72.0
10384,villa rica,Villa Rica,9070.0,2.509491,-76.844185,colombia,4.0,-72.0
10385,pueblo nuevo,Pueblo Nuevo,9076.0,8.241098,-74.958147,colombia,4.0,-72.0
10386,san juan de betulia,San Juan de Betulia,9092.0,9.27345,-75.24103199999999,colombia,4.0,-72.0
10387,puerto leguizamo,Puerto Leguízamo,9098.0,-0.193368,-74.781886,colombia,4.0,-72.0
10388,alcala,Alcalá,9135.0,4.674722,-75.7825,colombia,4.0,-72.0
10389,usiacuri,Usiacurí,9147.0,10.75,-74.983333,colombia,4.0,-72.0
10390,calamar,Calamar,9180.0,10.251103,-74.914617,colombia,4.0,-72.0
10391,mahates,Mahates,9224.0,10.232927,-75.189849,colombia,4.0,-72.0
10392,riofrio,Riofrío,9236.0,4.157104,-76.28851800000001,colombia,4.0,-72.0
10393,saldana,Saldaña,9237.0,3.929225,-75.015174,colombia,4.0,-72.0
10394,cajamarca,Cajamarca,9310.0,4.441724,-75.426783,colombia,4.0,-72.0
10395,concordia,Concordia,9324.0,6.046392,-75.907055,colombia,4.0,-72.0
10396,aranzazu,Aranzazu,9327.0,5.271232,-75.490438,colombia,4.0,-72.0
10397,sibundoy,Sibundoy,9458.0,1.204777,-76.923664,colombia,4.0,-72.0
10398,galeras,Galeras,9460.0,9.160948,-75.048108,colombia,4.0,-72.0
10399,san agustin,San Agustín,9481.0,1.878629,-76.275566,colombia,4.0,-72.0
10400,rionegro,Rionegro,9515.0,7.153611,-73.153611,colombia,4.0,-72.0
10401,curillo,Curillo,9540.0,1.0332709999999998,-75.919065,colombia,4.0,-72.0
10402,restrepo,Restrepo,9545.0,3.822034,-76.522423,colombia,4.0,-72.0
10403,zambrano,Zambrano,9565.0,9.747238,-74.815298,colombia,4.0,-72.0
10404,timbio,Timbío,9606.0,2.350169,-76.683413,colombia,4.0,-72.0
10405,vegachi,Vegachí,9618.0,6.761409,-74.794731,colombia,4.0,-72.0
10406,chinacota,Chinácota,9667.0,7.607313,-72.601078,colombia,4.0,-72.0
10407,manaure,Manaure,9703.0,11.775047,-72.44447199999999,colombia,4.0,-72.0
10408,planadas,Planadas,9710.0,3.196977,-75.645061,colombia,4.0,-72.0
10409,amalfi,Amalfi,9733.0,6.910163000000001,-75.07764399999999,colombia,4.0,-72.0
10410,moniquira,Moniquirá,9785.0,5.8763760000000005,-73.572843,colombia,4.0,-72.0
10411,olaya herrera,Olaya Herrera,9821.0,1.256086,-77.496649,colombia,4.0,-72.0
10412,gigante,Gigante,9829.0,2.386767,-75.545312,colombia,4.0,-72.0
10413,puerto salgar,Puerto Salgar,9864.0,5.4630410000000005,-74.654363,colombia,4.0,-72.0
10414,palermo,Palermo,9896.0,2.891667,-75.4375,colombia,4.0,-72.0
10415,condoto,Condoto,9898.0,5.093506,-76.649728,colombia,4.0,-72.0
10416,convencion,Convención,9915.0,8.386944,-73.339722,colombia,4.0,-72.0
10417,valle del guamuez,Valle del Guamuez,9969.0,0.4525,-76.919167,colombia,4.0,-72.0
10418,suarez,Suárez,9986.0,2.953951,-76.696436,colombia,4.0,-72.0
10419,don matias,Don Matías,10011.0,6.485685,-75.394959,colombia,4.0,-72.0
10420,algarrobo,Algarrobo,10042.0,10.1,-74.266667,colombia,4.0,-72.0
10421,tado,Tadó,10095.0,5.265977,-76.564874,colombia,4.0,-72.0
10422,la calera,La Calera,10175.0,4.383333,-73.983333,colombia,4.0,-72.0
10423,santa rosa de osos,Santa Rosa de Osos,10191.0,6.647375,-75.460305,colombia,4.0,-72.0
10424,puerto carreno,Puerto Carreño,10216.0,6.189031,-67.485879,colombia,4.0,-72.0
10425,tocaima,Tocaima,10235.0,4.458201,-74.634343,colombia,4.0,-72.0
10426,turbana,Turbaná,10236.0,10.271695,-75.44221999999999,colombia,4.0,-72.0
10427,suan,Suan,10382.0,10.333471,-74.880161,colombia,4.0,-72.0
10428,sandona,Sandoná,10402.0,1.291512,-77.474094,colombia,4.0,-72.0
10429,pailitas,Pailitas,10481.0,8.956517999999999,-73.625485,colombia,4.0,-72.0
10430,santa rosa,Santa Rosa,10604.0,10.444722,-75.369722,colombia,4.0,-72.0
10431,san alberto,San Alberto,10628.0,7.761066,-73.392201,colombia,4.0,-72.0
10432,valencia,Valencia,10653.0,8.258014,-76.149275,colombia,4.0,-72.0
10433,ituango,Ituango,10770.0,7.171172,-75.764041,colombia,4.0,-72.0
10434,algeciras,Algeciras,10792.0,2.522953,-75.314922,colombia,4.0,-72.0
10435,abrego,Ábrego,10823.0,8.080647,-73.220543,colombia,4.0,-72.0
10436,san juan de uraba,San Juan de Urabá,10825.0,8.759241000000001,-76.529689,colombia,4.0,-72.0
10437,necocli,Necoclí,10835.0,8.423417,-76.785967,colombia,4.0,-72.0
10438,purificacion,Purificación,10847.0,3.858705000000001,-74.931288,colombia,4.0,-72.0
10439,agua de dios,Agua de Dios,10876.0,4.376478,-74.669952,colombia,4.0,-72.0
10440,quinchia,Quinchía,10896.0,5.339573000000001,-75.730184,colombia,4.0,-72.0
10441,velez,Vélez,10905.0,6.013351,-73.673521,colombia,4.0,-72.0
10442,soata,Soatá,10945.0,6.333691,-72.682826,colombia,4.0,-72.0
10443,la victoria,La Victoria,11064.0,4.522711,-76.03738,colombia,4.0,-72.0
